config_name,pointer,parameter_name,distribution,min,max,value,default,needs_param_map_addition,priority,reasoning
config_odometry_gpu.json,frontend.use_isam2_dogleg,odometry_estimation.use_isam2_dogleg,categorical,,,true/false,false,YES,HIGH,"Docs explicitly name tunnels and long corridors as the use case for dogleg. Dogleg trust-region is more robust to bad linearisations from near-degenerate cylindrical geometry. Most important binary to test for this environment."
config_odometry_gpu.json,frontend.keyframe_update_strategy,odometry_estimation.keyframe_update_strategy,categorical,,,OVERLAP/DISPLACEMENT,OVERLAP,NO,HIGH,"OVERLAP adapts to scene geometry automatically; DISPLACEMENT forces keyframes on distance/rotation thresholds regardless of scene content. In a featureless tunnel OVERLAP may not trigger often enough (low geometric overlap = low score) leading to coarse submaps. DISPLACEMENT with small delta_trans ensures even featureless stretches get sufficient keyframes. Companion parameters: keyframe_delta_trans (DISPLACEMENT) and keyframe_max_overlap (OVERLAP)."
config_odometry_gpu.json,frontend.keyframe_delta_trans,odometry_estimation.keyframe_delta_trans,log_uniform_values,0.1,2.0,,2.0,NO,MEDIUM,"Only active when keyframe_update_strategy=DISPLACEMENT. Default 2.0 m is very coarse for a 300 m tunnel — a 150 m leg produces only ~75 keyframes. Previously hand-set to 0.25 m which reduced runaways. Range includes the default (2.0 m, upper boundary) so the sweep can confirm whether denser keyframing genuinely helps."
config_odometry_gpu.json,frontend.smoother_lag,odometry_estimation.smoother_lag,uniform,5,15,,5.0,NO,HIGH,"A 180° turn at walking speed takes 10–20 s. The default 5 s window marginalises the entry half of the turn before the exit is registered. Extending to 10–15 s keeps the full rotation visible to ISAM2, preventing angular drift that compounds into large loop-closure errors. Default sits at the lower boundary: we only explore the improvement direction."
config_odometry_gpu.json,frontend.max_num_keyframes,odometry_estimation.max_num_keyframes,int_uniform,15,30,,15,NO,HIGH,"More keyframes in the fixed-lag window means more historical anchors. In a featureless tunnel every extra anchor resists along-axis drift accumulation. Default 15 sits at the lower boundary; we explore whether 20–30 reduces the >10 m loop error."
config_odometry_gpu.json,frontend.full_connection_window_size,odometry_estimation.full_connection_window_size,int_uniform,2,15,,2,YES,HIGH,"Dense inter-pose registration factors prevent axial slippage along the tunnel. Default is 2 (chain-only). Previously hand-set to 10 to stop runaways. Range now starts at the default (2) so the sweep can quantify the gain — and confirm that 10 was not already over-constraining. Especially important during 180° turns where angular constraints are otherwise weak."
config_odometry_gpu.json,frontend.voxel_resolution,odometry_estimation.voxel_resolution,log_uniform_values,0.08,0.25,,0.25,NO,MEDIUM,"Livox Mid360 is dense; finer voxels capture tunnel wall curvature for registration. Default 0.25 m sits at the upper boundary — we explore finer resolutions. Previously 0.1 m reduced runaways; range covers that experience while allowing the optimizer to find the accuracy-vs-stability optimum."
config_odometry_gpu.json,frontend.voxelmap_levels,odometry_estimation.voxelmap_levels,int_uniform,2,3,,2,NO,MEDIUM,"Multi-resolution pyramid enlarges the convergence basin. Default 2 at the lower boundary. Level 3 is especially helpful when scan-to-scan angular overlap is low during a slow 180° turn or when the scanner looks back along the tunnel axis."
config_odometry_gpu.json,frontend.keyframe_delta_rot,odometry_estimation.keyframe_delta_rot,uniform,0.15,0.5,,0.5,NO,MEDIUM,"Only active when keyframe_update_strategy=DISPLACEMENT. Default 0.5 rad (29°) gives ~6 keyframes per 180° turn. Halving to 0.15 rad doubles keyframe density during rotations, giving the sub-mapper more turn geometry. Default at upper boundary — we only explore denser keyframing."
config_sub_mapping_gpu.json,sub_mapping.enable_optimization,sub_mapping.enable_optimization,categorical,,,true/false,false,NO,MEDIUM,"Bundle-adjusting each submap before handing it to global mapping corrects intra-submap drift. Default is false (off). Particularly useful when odometry is noisy from degenerate tunnel geometry — tighter submaps give global mapping more accurate starting poses for loop-closure registration."
config_sub_mapping_gpu.json,sub_mapping.keyframe_voxel_resolution,sub_mapping.keyframe_voxel_resolution,log_uniform_values,0.1,0.3,,0.25,NO,MEDIUM,"Controls VGICP quality within submaps. Default 0.25 m is well within range. Should be tuned jointly with frontend.voxel_resolution — a large mismatch between the two causes poor intra-submap registration that propagates into global map loop-closure quality."
config_global_mapping_gpu.json,global_mapping.submap_voxel_resolution,global_mapping.submap_voxel_resolution,log_uniform_values,0.05,0.5,,0.5,NO,HIGH,"The most direct loop-closure quality knob. Default 0.5 m is now at the upper boundary — included so the sweep can prove finer is better. At 0.5 m a ~5 m diameter tunnel wall is nearly featureless to VGICP; finer voxels preserve curvature and give more rotational grip at loop-closure registration time. Lower bound extended to 0.05 m based on expert experience with similarly featureless glacier/tunnel environments."
